vid,vtitle,desc,pid,ptitle
9cDqaYCC3Vs,Information Retrieval Evaluation -II,"Mrs. Manisha A. Nirgude
Assistant Professor,
Department of Information Technology, 
Walchand Institute of Technology, Solapur.",PLM-jfaoaU5ixnak5s276BWojhuf4mcAiR,Information Retreival
UDA7vo2_PGA,Sequential Searching -I (KMP Algorithm),"Mrs. Manisha A. Nirgude
Asst. Professor, 
Department of Information Technology, 
Walchand Institute of Technology, Solapur",PLM-jfaoaU5ixnak5s276BWojhuf4mcAiR,Information Retreival
Sk7LYDTCwc0,Sequential Searching - II (BM Algorithm),"Mrs. Manisha A. Nirgude
Asst. Professor, 
Department of Information Technology, 
Walchand Institute of Technology, Solapur",PLM-jfaoaU5ixnak5s276BWojhuf4mcAiR,Information Retreival
xlNkXyydago,Sequential Searching - III (BDM Algorithm),"Mrs. M. A. Nirgude
Assistant Professor
Department of Information Technology
Walchand Institute of Technology, Solapur",PLM-jfaoaU5ixnak5s276BWojhuf4mcAiR,Information Retreival
3lW0yrW32A8,Streamflow Hydrograph,"Dr. Satishkumar S. Kashid
Professor,
Department of Civil Engineering,
Walchand Institute of Technology, Solapur",PLM-jfaoaU5ixvtSza6P-kbnlwJKdXaQJU,Water Resources Engineering-I
o_A40snrL3A,Fundamentals of Unit Hydrograph,"Dr. Satishkumar S. Kashid
Professor,
Department of Civil Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5ixvtSza6P-kbnlwJKdXaQJU,Water Resources Engineering-I
7yWL2z3sxAw,Deriving Unit Hydrograph,"Dr. Satishkumar S. Kashid
Professor,
Department of Civil Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5ixvtSza6P-kbnlwJKdXaQJU,Water Resources Engineering-I
FSD2hA5vV8M,Application of Unit Hydrograph: Deriving ‘Direct Runoff Hydrograph’ using ‘Unit Hydrograph’,"Dr. Satishkumar S. Kashid
Professor,
Department of Civil Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5ixvtSza6P-kbnlwJKdXaQJU,Water Resources Engineering-I
IluH4Ww2yeU,Application of Unit Hydrograph :Deriving Unit Hydrograph of Different Durations,"Dr. Satishkumar S. Kashid
Professor,
Department of Civil Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5ixvtSza6P-kbnlwJKdXaQJU,Water Resources Engineering-I
OmSibnrCwac,GSM Architecture and Signaling Protocol Architecture,"Prof. A.B.Dhulkhedkar
Electronics and Telecommunication dept
Walchand Institute of Technology,Solapur",PLM-jfaoaU5ix18ySNwUuvVycoQfOIcpod,Mobile Communication
K_AEJevKsjA,"GSM Identifier, Channel and Frame Structure","Prof. A.B.Dhulkhedkar
Electronics and Telecommunication dept
Walchand Institute of Technology,Solapur",PLM-jfaoaU5ix18ySNwUuvVycoQfOIcpod,Mobile Communication
wcUGMsCxxso,"GSM Speech Coding, Authentication and Security","""Prof. A.B.Dhulkhedkar
Electronics and Telecommunication dept
Walchand Institute of Technology,Solapur""",PLM-jfaoaU5ix18ySNwUuvVycoQfOIcpod,Mobile Communication
tDUh2Yd6iho,GSM Call Procedure and Handoff Procedure,"""Prof. A.B.Dhulkhedkar
Electronics and Telecommunication dept
Walchand Institute of Technology,Solapur""",PLM-jfaoaU5ix18ySNwUuvVycoQfOIcpod,Mobile Communication
L9CY-91CyQA,GPRS (General Packet Radio Service),"""Prof. A.B.Dhulkhedkar
Electronics and Telecommunication dept
Walchand Institute of Technology,Solapur""",PLM-jfaoaU5ix18ySNwUuvVycoQfOIcpod,Mobile Communication
4APwHEo3gE4,Basics of XML,"V R Tribhuvan
Assistant Professor
Walchand Institute of Technology
Solapu, Maharashtra, INDIA",PLM-jfaoaU5iyJ3Ju7y6UAk1qiogviUROf,Web 2.0 and Rich Internet Apps
NphUq8hsAMI,Basics of XPath,"V R Tribhuvan
Assistant Professor
Dept. of Computer Science and Engineering
Walchand Institute of Technology
Solapur, Maharashtra, INDIA",PLM-jfaoaU5iyJ3Ju7y6UAk1qiogviUROf,Web 2.0 and Rich Internet Apps
yZQ91UpuxVQ,Introduction to XSLT,"V R Tribhuvan
Assistant Professor
Dept. of Computer Science and Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5iyJ3Ju7y6UAk1qiogviUROf,Web 2.0 and Rich Internet Apps
dSOXw4vL3q4,Really Simple Syndication (RSS),"V R Tribhuvan
Assistant Professor
Dept. of Computer Science and Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5iyJ3Ju7y6UAk1qiogviUROf,Web 2.0 and Rich Internet Apps
oMPKBegpwZo,Introduction to JavaScript,"V R Tribhuvan
Assistant Professor
Dept. of Computer Science and Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5iyJ3Ju7y6UAk1qiogviUROf,Web 2.0 and Rich Internet Apps
NphUq8hsAMI,Basics of XPath,"V R Tribhuvan
Assistant Professor
Dept. of Computer Science and Engineering
Walchand Institute of Technology
Solapur, Maharashtra, INDIA",PLM-jfaoaU5iycL2xuNV2V7ptYFriX6jAT,Web 2.0 and Rich Internet Apps
4APwHEo3gE4,Basics of XML,"V R Tribhuvan
Assistant Professor
Walchand Institute of Technology
Solapu, Maharashtra, INDIA",PLM-jfaoaU5iycL2xuNV2V7ptYFriX6jAT,Web 2.0 and Rich Internet Apps
yZQ91UpuxVQ,Introduction to XSLT,"V R Tribhuvan
Assistant Professor
Dept. of Computer Science and Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5iycL2xuNV2V7ptYFriX6jAT,Web 2.0 and Rich Internet Apps
dSOXw4vL3q4,Really Simple Syndication (RSS),"V R Tribhuvan
Assistant Professor
Dept. of Computer Science and Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5iycL2xuNV2V7ptYFriX6jAT,Web 2.0 and Rich Internet Apps
oMPKBegpwZo,Introduction to JavaScript,"V R Tribhuvan
Assistant Professor
Dept. of Computer Science and Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5iycL2xuNV2V7ptYFriX6jAT,Web 2.0 and Rich Internet Apps
I86GWry2ujI,Continuous Time and Discrete Time Signals,"""Mr. K. R. Biradar
Assistant Professor
Department of Electronics & Telecommunication Engg.
Walchand Institute of Technology, Solapur. Maharashtra
""",PLM-jfaoaU5iwYVIwaU9YYZ7CdDb7wN2lq,SIgnals & Systems
jNi72ajntzE,Types of DT Signals & their Representation,"""Mr. K. R. Biradar
Assistant Professor
Department of Electronics & Telecommunication Engg.
Walchand Institute of Technology, Solapur. Maharashtra
""",PLM-jfaoaU5iwYVIwaU9YYZ7CdDb7wN2lq,SIgnals & Systems
QsqZU4RGqv4,Operations on Signals,"""Mr. K. R. Biradar
Assistant Professor
Department of Electronics & Telecommunication Engg.
Walchand Institute of Technology, Solapur. Maharashtra
""",PLM-jfaoaU5iwYVIwaU9YYZ7CdDb7wN2lq,SIgnals & Systems
a_wwYa6hduA,Even and Odd Signals,"""Mr. K. R. Biradar
Assistant Professor
Department of Electronics & Telecommunication Engg.
Walchand Institute of Technology, Solapur. Maharashtra
""",PLM-jfaoaU5iwYVIwaU9YYZ7CdDb7wN2lq,SIgnals & Systems
-cEDIIrgZoE,Classification of Signals,"""Mr. K. R. Biradar
Assistant Professor
Department of Electronics & Telecommunication Engg.
Walchand Institute of Technology, Solapur. Maharashtra
""",PLM-jfaoaU5iwYVIwaU9YYZ7CdDb7wN2lq,SIgnals & Systems
dKDK-DEHK-4,Optical Source : Laser,"Mr. Y.S. Phand
Assistant Professor
Department of Electronics & Telecommunication Engineering
WIT, Solapur",PLM-jfaoaU5iw4YfFAm3_jvzaSpiNsEx6Z,Optical Communication
hbDJrX1ZMyc,Semiconductor Injection Laser,"Mr. Y.S. Phand
Assistant Professor
Department of Electronics & Telecommunication Engineering
WIT, Solapur",PLM-jfaoaU5iw4YfFAm3_jvzaSpiNsEx6Z,Optical Communication
LQ1CUBB-6AY,Injection Laser Structures,"Mr. Y.S. Phand
Assistant Professor
Department of Electronics & Telecommunication Engineering
WIT, Solapur",PLM-jfaoaU5iw4YfFAm3_jvzaSpiNsEx6Z,Optical Communication
ICWkamTBZgA,Injection Laser Characteristics,"Mr. Y.S. Phand
Assistant Professor
Department of Electronics & Telecommunication Engineering
WIT, Solapur",PLM-jfaoaU5iw4YfFAm3_jvzaSpiNsEx6Z,Optical Communication
bx1IKpESAsU,Light Emitting Diode (LED) Structures,"Mr. Y.S. Phand
Assistant Professor
Department of Electronics & Telecommunication Engineering
WIT, Solapur",PLM-jfaoaU5iw4YfFAm3_jvzaSpiNsEx6Z,Optical Communication
AFamsIw3YnA,Sensor Characteristics,"Mr. R. D. Mistry 
Assistant Professor
Walchand Institute of Technology, Solapur",PLM-jfaoaU5izfRTWhaTQM6xmFrlDv2B4v,Mechatronics
J9nrvIFc66s,Potentiometers,"Mr. R. D. Mistry 
Assistant Professor
Walchand Institute of Technology, Solapur",PLM-jfaoaU5izfRTWhaTQM6xmFrlDv2B4v,Mechatronics
9DGmCIitJHQ,Range Sensors,"Mr. R. D. Mistry 
Assistant Professor
Walchand Institute of Technology, Solapur",PLM-jfaoaU5izfRTWhaTQM6xmFrlDv2B4v,Mechatronics
XaoIPGUgW0g,Range Sensing using TOF,"Mr. R. D. Mistry 
Assistant Professor
Walchand Institute of Technology, Solapur",PLM-jfaoaU5izfRTWhaTQM6xmFrlDv2B4v,Mechatronics
S_N7y-Wer68,Ultrasonic Sensors,"Mr. R. D. Mistry 
Assistant Professor
Walchand Institute of Technology, Solapur",PLM-jfaoaU5izfRTWhaTQM6xmFrlDv2B4v,Mechatronics
3-J58q-NAc8,Rolling contact bearing Part I,"Mr. S. B. Naik
Assistant Professor
Mechanical Engineering Department
Walchand Institute of Technology, Solapur",PLM-jfaoaU5iy3Ufc1wUhQC-oJ_yustLwU,Machine Design-II
AzqQjccnneU,Rolling contact bearing Part II,"Mr. S. B. Naik
Assistant Professor
Mechanical Engineering Department
Walchand Institute of Technology, Solapur",PLM-jfaoaU5iy3Ufc1wUhQC-oJ_yustLwU,Machine Design-II
SSFE-RuTZlA,Rolling contact bearing Part III,"Mr. S. B. Naik
Assistant Professor
Mechanical Engineering Department
Walchand Institute of Technology, Solapur",PLM-jfaoaU5iy3Ufc1wUhQC-oJ_yustLwU,Machine Design-II
vzi-V0sFQRA,Rolling contact bearing Part IV,"Mr. S. B. Naik
Assistant Professor
Mechanical Engineering Department
Walchand Institute of Technology, Solapur",PLM-jfaoaU5iy3Ufc1wUhQC-oJ_yustLwU,Machine Design-II
VVL8EA31zLw,Rolling contact bearing Part V,"Mr. S. B. Naik
Assistant Professor
Mechanical Engineering Department
Walchand Institute of Technology, Solapur",PLM-jfaoaU5iy3Ufc1wUhQC-oJ_yustLwU,Machine Design-II
OY1AbqMA9wE,Recording Techniques- Flow Process Chart,"Dr. P. R. Kulkarni
Professor,
Mechanical Engineering Department,
Walchand Institute of Technology, Solapur.",PLM-jfaoaU5izSnf1rMf_wmPqHTNiMbWPH,Industrial Engineering
of-uCQtZY1U,Recording Techniques- Multiple activity chart,"Dr. P. R. Kulkarni
Professor,
Mechanical Engineering Department,
Walchand Institute of Technology, Solapur.",PLM-jfaoaU5izSnf1rMf_wmPqHTNiMbWPH,Industrial Engineering
OBB9GzDhUWM,Introduction to Work Sampling,"Dr. P. R. Kulkarni
Professor,
Mechanical Engineering Department,
Walchand Institute of Technology, Solapur.",PLM-jfaoaU5izSnf1rMf_wmPqHTNiMbWPH,Industrial Engineering
YqPkQAda5pE,Applications of Work Sampling,"Dr. P. R. Kulkarni
Professor,
Mechanical Engineering Department,
Walchand Institute of Technology, Solapur.",PLM-jfaoaU5izSnf1rMf_wmPqHTNiMbWPH,Industrial Engineering
RBs3qMiKaL0,Flow Diagram,"Dr. P. R. Kulkarni
Professor,
Mechanical Engineering Department,
Walchand Institute of Technology, Solapur.",PLM-jfaoaU5izSnf1rMf_wmPqHTNiMbWPH,Industrial Engineering
L__RlqmwZms,Introduction to CNC,"Mr Naval L Yemul
Assistant Professor 
Mechanical Engineering Department",PLM-jfaoaU5ix0h2TAVzJmran3TStXVstR,Machine Tools and Processes
8CVpoMitfos,Classification of CNC,"Mr Naval L Yemul
Assistant Professor 
Mechanical Engineering Department",PLM-jfaoaU5ix0h2TAVzJmran3TStXVstR,Machine Tools and Processes
4zuPEApwfcE,Fundamentals of CNC -1,"Mr Naval L Yemul
Assistant Professor 
Mechanical Engineering Department",PLM-jfaoaU5ix0h2TAVzJmran3TStXVstR,Machine Tools and Processes
yrQCF-UUh4Q,Fundamentals of CNC 2,"Mr Naval L Yemul
Assistant Professor 
Mechanical Engineering Department",PLM-jfaoaU5ix0h2TAVzJmran3TStXVstR,Machine Tools and Processes
Fv4BdFCRDzg,CNC Part Programming,"Mr Naval L Yemul
Assistant Professor 
Mechanical Engineering Department",PLM-jfaoaU5ix0h2TAVzJmran3TStXVstR,Machine Tools and Processes
c2U7rKuIDtw,Introduction to Bearing Capacity of Soil,"Mr. Nagaraj H Koppa
Assistant Professor
Department of Civil Engineering
Walchand Institute of Technology
Solapur",PLM-jfaoaU5ixQdVgF0bHAAbNyKVu682fa,Geotechnical Engineering-II
iXotx6jVHHg,Methods of Bearing Capacity of Soil,"Mr. Nagaraj H Koppa
Assistant Professor
Department of Civil Engineering
Walchand Institute of Technology
Solapur",PLM-jfaoaU5ixQdVgF0bHAAbNyKVu682fa,Geotechnical Engineering-II
8BiAxmZ4CVc,Derivation of Terzaghi's Bearing Capacity Equation,"Mr. Nagaraj H Koppa
Assistant Professor
Department of Civil Engineering
Walchand Institute of Technology
Solapur",PLM-jfaoaU5ixQdVgF0bHAAbNyKVu682fa,Geotechnical Engineering-II
D6VCu3wUcY8,Introduction to Foundations,"Dr. Satishkumar S. Kashid
Professor in Civil Engineering
Walchand Institute of Technology, Solapur.",PLM-jfaoaU5ixQdVgF0bHAAbNyKVu682fa,Geotechnical Engineering-II
Me3U7YoAWUo,Introduction to Deep Foundations,"Dr. Satishkumar S. Kashid
Professor in Civil Engineering
Walchand Institute of Technology, Solapur.",PLM-jfaoaU5ixQdVgF0bHAAbNyKVu682fa,Geotechnical Engineering-II
_a-cE_cEIAA,Numerical Example on Design & Analysis of Stem Slab,"Dr. Patil SunilKumar S
Professor
Department of Civil Engineering
Walchand Institute of Technology
Solapur",PLM-jfaoaU5ix-LkYl0t3710sApO-4mxYB,Design of Concrete Structures-II
CPox1ffg7CM,Analysis and Design of Toe Slab for Cantilever Retaining Wall,"Dr. Patil SunilKumar S
Professor
Department of Civil Engineering
Walchand Institute of Technology
Solapur",PLM-jfaoaU5ix-LkYl0t3710sApO-4mxYB,Design of Concrete Structures-II
KyDYwTsvJyg,Numerical Example on Analysis and Design of Toe slab for Cantilever Retaining Wall,"Dr. Patil SunilKumar S
Professor
Department of Civil Engineering
Walchand Institute of Technology
Solapur",PLM-jfaoaU5ix-LkYl0t3710sApO-4mxYB,Design of Concrete Structures-II
Pw5ZGZMvZZU,Analysis and Design of Heel Slab for Cantilever Retaining Wall,"Dr. Patil Sunilkumar S
Professor
Department of Civil Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5ix-LkYl0t3710sApO-4mxYB,Design of Concrete Structures-II
hYixySoqx7g,Numerical Example on Analysis and Design of Heel Slab for Cantilever Retaining Wall,"Dr. Patil Sunilkumar S
Professor
Department of Civil Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5ix-LkYl0t3710sApO-4mxYB,Design of Concrete Structures-II
w2PMvrIyDvw,Gradually Varied Flow,"Mr. Sachin. C.Deshukh
Assistant Professor,
Department of Civil Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5ixURPI8l0ztrHmcjKmdKOTt,Fluid Mechanics-II
Lz7eUdLruNg,Numerical Example on Gradually Varied Flow,"Mr. Sachin. C.Deshukh
Assistant Professor,
Department of Civil Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5ixURPI8l0ztrHmcjKmdKOTt,Fluid Mechanics-II
-gJ7ymP9peE,Rapidly Varied Flow (RVF),"Mr. Deshmukh S C
Assistant Professor
Department of Civil Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5ixURPI8l0ztrHmcjKmdKOTt,Fluid Mechanics-II
BkmqvfjjZ6E,Numerical Example on Rapidly Varied Flow (RVF),"Mr. Deshmukh S C
Assistant Professor
Department of Civil Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5ixURPI8l0ztrHmcjKmdKOTt,Fluid Mechanics-II
xATX5Dh_BYI,Energy Loss Through Hydraulic Jump,"Mr. Deshmukh S C
Assistant Professor
Department of Civil Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5ixURPI8l0ztrHmcjKmdKOTt,Fluid Mechanics-II
inLfREqrZQI,LPC1768 Architecture,"Mr. P. P. Tambe
Assistant Professor,
Department of Electronics Engineering,
Walchand Institute of technology, Solpaur",PLM-jfaoaU5iyATdMUZC_TRZKPD8OU1Px1,Internet of Things
WmZFfokztXg,LPC1768 Pin Connect Block,"Mr. P. P. Tambe
Assistant Professor
Department of electronics Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5iyATdMUZC_TRZKPD8OU1Px1,Internet of Things
5ipqQsguqdE,LPC1768 GPIO Port Part-I,"Mr. P. P. Tambe
Assistant Professor
Department of electronics Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5iyATdMUZC_TRZKPD8OU1Px1,Internet of Things
uej3c8X_8QA,LPC1768 GPIO Port Part-II,"Mr. P. P. Tambe
Assistant Professor
Department of electronics Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5iyATdMUZC_TRZKPD8OU1Px1,Internet of Things
N6mXmf6nHis,LPC1768 Interfacing Example,"Mr. P. P. Tambe
Assistant Professor
Department of electronics Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5iyATdMUZC_TRZKPD8OU1Px1,Internet of Things
JXKrdC_mpz4,Switching Techniques-II,"Barbade Sudhakar R
Assistant Professor,Department of Electronics & Telecommunication Engineering,Walchand Institute of Technology,Solapur",PLM-jfaoaU5iziiXhkik_ojeFdVVea89iC,Broadband Communication
KaekrgF0r3U,Switching Techniques-I,"Barbade Sudhakar R
Assistant Professor,Department of Electronics & Telecommunication Engineering, Walchand Institute of Technology, Solapur",PLM-jfaoaU5iziiXhkik_ojeFdVVea89iC,Broadband Communication
RP4OAbyVjV8,Frame relay Network,"Barbade Sudhakar R
Assistant Professor,Department of Electronics & Communication Engineering,Walchand Institute of Technology,Solapur",PLM-jfaoaU5iziiXhkik_ojeFdVVea89iC,Broadband Communication
BCoc1REo6qI,X.25 Features-part 2,"Barbade Sudhakar R
Assistant Professor,Department of Electronics & Communication Engineering,Walchand Institute of Technology,Solapur",PLM-jfaoaU5iziiXhkik_ojeFdVVea89iC,Broadband Communication
LB06AxI0fRk,X.25 features-Part1,"Barbade Sudhakar R
Assistant Professor, Department of Electronics & Telecommunication Engineering, Walchand Institute of Technology,Solapur",PLM-jfaoaU5iziiXhkik_ojeFdVVea89iC,Broadband Communication
YtKnI4EeYIU,INJECTION MOULDING,"Mr. Katikar Narendra S.
Asst. Prof.
Mech.Engg.Dept.
Walchand Institute of Technology, Solapur",PLM-jfaoaU5ixX1G-KxvICBwNseQnAENTj,PLASTIC ENGINEERING
ZaCYnKpXCV8,ROTATIONAL MOULDING,"Mr. Katikar Narendra S.
Asst. Prof.
Mech.Engg.Dept.
Walchand Institute of Technology, Solapur",PLM-jfaoaU5ixX1G-KxvICBwNseQnAENTj,PLASTIC ENGINEERING
X33bP2QDY_M,COMPRESSION MOULDING,"Mr. Katikar Narendra S.
Asst. Prof.
Mech.Engg.Dept.
Walchand Institute of Technology, Solapur",PLM-jfaoaU5ixX1G-KxvICBwNseQnAENTj,PLASTIC ENGINEERING
rvSdWb1GPMs,DESIGN OF PLASTIC PART,"Mr. Katikar Narendra S.
Asst. Prof.
Mech.Engg.Dept.
Walchand Institute of Technology, Solapur",PLM-jfaoaU5ixX1G-KxvICBwNseQnAENTj,PLASTIC ENGINEERING
_7YaDvAMj7k,BLOW  MOULDING,"Prof. N. S. Katikar
Assistant Professor,
Mechanical Engineering Department,
Walchand Institute of Technology, Solapur.",PLM-jfaoaU5ixX1G-KxvICBwNseQnAENTj,PLASTIC ENGINEERING
SxQrid6l36U,Determination of Discharge Through Sewer Line,"Mrs. Swati G. Ghadge
Assistant Professor
Department of Civil Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5iwIVDsMpsf7N82azem7sbRI,Environmental Engineering-II
yzNpLoNvSyw,Determination of Discharge Through Sewer Line,"Mrs. Swati G. Ghadge
Assistant Professor
Department of Civil Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5iwIVDsMpsf7N82azem7sbRI,Environmental Engineering-II
3UsdRAI17X8,Determination of velocity of sewage flowing through sewer line,"Ms. Swati G. Ghadge
Assistant Professor
Civil Engineering Department
Walchand Institute of Technology Solapur.",PLM-jfaoaU5iwIVDsMpsf7N82azem7sbRI,Environmental Engineering-II
FNTVvT-3Evo,Determination of Self Cleansing Velocity of Sewage Flowing Through Sewer Line,"Ms. Swati G. Ghadge
Assistant Professor
Civil Engineering Department
Walchand Institute of Technology Solapur.",PLM-jfaoaU5iwIVDsMpsf7N82azem7sbRI,Environmental Engineering-II
ofSq4dwz25U,Design of Siphon,"Ms. Swati G. Ghadge
Assistant Professor
Civil Engineering Department
Walchand Institute of Technology Solapur.",PLM-jfaoaU5iwIVDsMpsf7N82azem7sbRI,Environmental Engineering-II
j010o21YoBo,Introduction & Features of Cassendra,"Dr. Mrs. Anita M Pujar,
 Professor,                     
Walchand Institute of Technology, Solapur",PLM-jfaoaU5ix_xL8RC4EUx6GU8xYlgGev,Big Data Analytics
OWaLno5dfbI,CQL DATA TYPES & CQLSH,"Dr. Mrs. Anita M Pujar, 
Professor,                     
Walchand Institute of Technology, Solapur",PLM-jfaoaU5ix_xL8RC4EUx6GU8xYlgGev,Big Data Analytics
jr3TAqYyb7c,CRUD Operations in Cassandra,"Dr. Mrs. Anita M Pujar, 
Professor,                     
Walchand Institute of Technology, Solapur",PLM-jfaoaU5ix_xL8RC4EUx6GU8xYlgGev,Big Data Analytics
Ilb9caTGx-k,"Collections , TTL, ALTER commands in Cassandra","Dr. Mrs. Anita M Pujar, 
Professor,                     
Walchand Institute of Technology, Solapur",PLM-jfaoaU5ix_xL8RC4EUx6GU8xYlgGev,Big Data Analytics
aa4FfZZ95Tk,Import & Export commands,"Dr. Mrs. Anita M Pujar, 
Professor,                     
Walchand Institute of Technology, Solapur",PLM-jfaoaU5ix_xL8RC4EUx6GU8xYlgGev,Big Data Analytics
K78LMv9spKM,Introduction to Scilab,"Ms. Milka J. Jagale
Assistant Professor
Mechanical Engineering Department
WALCHAND INSTITUTE OF TECHNOLOGY, SOLAPUR",PLM-jfaoaU5izjit15s9WFsXhefBvKNQqw,Advanced Computing Techniques
92HaEdFRUSs,Functions in Scilab,"Ms. Milka J. Jagale
Assistant Professor
Mechanical Engineering Department
WALCHAND INSTITUTE OF TECHNOLOGY, SOLAPUR",PLM-jfaoaU5izjit15s9WFsXhefBvKNQqw,Advanced Computing Techniques
vl35S08bQIE,Matrix Operations Using Scilab,"Ms. Milka J. Jagale
Assistant Professor
Mechanical Engineering Department
WALCHAND INSTITUTE OF TECHNOLOGY, SOLAPUR",PLM-jfaoaU5izjit15s9WFsXhefBvKNQqw,Advanced Computing Techniques
727V0s2p8wU,Statistical Functions in Scilab,"Ms. Milka J. Jagale
Assistant Professor
Mechanical Engineering Department
WALCHAND INSTITUTE OF TECHNOLOGY, SOLAPUR",PLM-jfaoaU5izjit15s9WFsXhefBvKNQqw,Advanced Computing Techniques
eRGpxTz5TH0,Operators in Scilab,"Ms. Milka J. Jagale
Mechanical Engg. Dept.
Walchand Institute of Technology, Solapur",PLM-jfaoaU5izjit15s9WFsXhefBvKNQqw,Advanced Computing Techniques
dmY2mMjF3Ys,Valve Timing Diagrams in Internal Combustion  Engines-I,"Dr. Prakash V. Salunke
Associate Professor,
Dept. of Mechanical Engg.
Walchand Institute of Technology, Solapur.",PLM-jfaoaU5ixaFwXULZDZlJnPJePthUsY,Internal Combustion Engines
ZszsOzsfnaQ,Valve Timing Diagrams in Internal Combustion  Engines- II,"Dr. Prakash V. Salunke
Associate Professor,
Dept. of Mechanical Engg.
Walchand Institute of Technology, Solapur.",PLM-jfaoaU5ixaFwXULZDZlJnPJePthUsY,Internal Combustion Engines
Iyeqqw3aG2g,Fuel Systems in S  I  Engines- I,"Dr. Prakash V. Salunke
Associate Professor,
Dept. of Mechanical Engg.
Walchand Institute of Technology, Solapur.",PLM-jfaoaU5ixaFwXULZDZlJnPJePthUsY,Internal Combustion Engines
06Eu40J-w2I,Fuel Systems in S  I  Engines-II,"Dr. Prakash V. Salunke
Associate Professor,
Dept. of Mechanical Engg.
Walchand Institute of Technology, Solapur.",PLM-jfaoaU5ixaFwXULZDZlJnPJePthUsY,Internal Combustion Engines
mg50CBmfD14,Fuel Systems in S  I  Engines-III,"Dr. Prakash V. Salunke
Associate Professor,
Dept. of Mechanical Engg.
Walchand Institute of Technology, Solapur.",PLM-jfaoaU5ixaFwXULZDZlJnPJePthUsY,Internal Combustion Engines
coEauWqyrc8,Introduction to Radar System,"Dr.Rupali J.Shelke
Associate Professor
Department of Electronics Engg.
Walchand Institute of Technology ,Solapur",PLM-jfaoaU5iwqoP-xykTr35WT6D55lOo-,Advanced Communication Engg
_2ASabpZWDk,Pulse Radar System,"Dr.Rupali J.Shelke
Associate Professor
Department of Electronics Engg.
Walchand Institute of Technology,Solapur",PLM-jfaoaU5iwqoP-xykTr35WT6D55lOo-,Advanced Communication Engg
LomqBVYbMUQ,Continuous Radar System,"Dr.Rupali J.Shelke
Associate Professor 
Department of Electronics Engg.
Walchand Institute of Technology ,Solapur",PLM-jfaoaU5iwqoP-xykTr35WT6D55lOo-,Advanced Communication Engg
NUKlckVB5XM,Moving Target Indicator (MTI) Radar,"Dr.Rupali J.Shelke
Associate Professor 
Department of Electronics Engg.
Walchand Institute of Technology ,Solapur",PLM-jfaoaU5iwqoP-xykTr35WT6D55lOo-,Advanced Communication Engg
sQZU1wRXqw4,Radar Range Equation,"Dr.Rupali J.Shelke
Associate  Professor 
Department of Electronics Engg.
Walchand Institute of Technology,Solapur",PLM-jfaoaU5iwqoP-xykTr35WT6D55lOo-,Advanced Communication Engg
LadMohu5S0s,Unified Modeling Language: Class Diagram & Object Diagram,"Mrs. Shrutali V Narkar 
Assistant Professor,
Department of Information Technology,
Walchand Institute of Technology, Solapur.",PLM-jfaoaU5iwfN938JjXT-68que_sNXX0,Object Oriented Modeling & Design
iEdQEhNXOwc,UML:Use case diagram & Interaction Diagrams,"Mrs. Shrutali V Narkar 
Assistant Professor,
Department of Information Technology,
Walchand Institute of Technology, Solapur.",PLM-jfaoaU5iwfN938JjXT-68que_sNXX0,Object Oriented Modeling & Design
Xhq7Iaqo_qQ,UML:Sequence diagrams.,"Mrs. Shrutali V Narkar 
Assistant Professor,
Department of Information Technology,
Walchand Institute of Technology, Solapur.",PLM-jfaoaU5iwfN938JjXT-68que_sNXX0,Object Oriented Modeling & Design
1DGvVDWmHO0,UML :  Collaboration diagram,"Mrs. Shrutali V Narkar 
Assistant Professor,
Department of Information Technology,
Walchand Institute of Technology, Solapur.",PLM-jfaoaU5iwfN938JjXT-68que_sNXX0,Object Oriented Modeling & Design
xKTZurpp2qU,UML: Activity Diagram.,"Mrs. Shrutali V Narkar 
Assistant Professor,
Department of Information Technology,
Walchand Institute of Technology, Solapur.",PLM-jfaoaU5iwfN938JjXT-68que_sNXX0,Object Oriented Modeling & Design
