title,videoIDS,video_description,publishedDate
Query Processing,zhBydN5l7oo,"Mrs. Manisha A. Nirgude,
Asst. Professor,
Department of Information Technology, 
Walchand Institute of Technology, Solapur
Maharashtra",2020-12-01T09:27:02Z
Carry Look Ahead adder,G0wWTutffhw,"Ms. Shweta S. Patil
Assistant Professor
Department of Electronics and Telecommunication Engineering
Walchand Institute of Technology, Solapur",2020-11-28T08:55:56Z
Codes in binary number system,wcucla1qeII,"Ms. Shweta S. Patil
Assistant Professor
Department of Electronics and Telecommunication Engineering
Walchand Institute of Technology, Solapur",2020-11-28T08:51:28Z
Parity generator and checker,EagrVmvT-7A,"Ms. Shweta S. Patil
Assistant Professor
Department of Electronics and Telecommunication Engineering
Walchand Institute of Technology, Solapur",2020-11-28T08:46:34Z
Parameters of digital ICs,CtcE_UiH5eM,"Ms. Shweta S. Patil
Assistant Professor
Department of Electronics and Telecommunication Engineering
Walchand Institute of Technology, Solapur",2020-11-28T08:40:12Z
Database Management System – I,9t2eKqVj2Uk,"Dr.Sachin R. Gengaje
 Head & Professor 
Electronics Engineering Department 
Walchand Institute of Technology, Solapur",2020-11-26T10:29:31Z
Point Form of Ampere's Law and Stroke Theorem,G7gkbGA29R0,"Dr.Mrs.Rupali J.Shelke
 Associate Professor 
Electronics Engineering Department 
Walchand Institute of Technology, Solapur",2020-11-26T10:23:01Z
Multiple Inheritance,8XTh_7WZqxA,"Mrs.Meenakshi N. Shrigandhi
Assistant Professor
Walchand Institute of Technology, Solapur",2020-11-26T07:55:59Z
Single Inheritance,wRVwinN0-8Q,"Mrs.Meenakshi N. Shrigandhi
Assistant Professor
Walchand Institute of Technology, Solapur",2020-11-26T07:50:35Z
Copy Constructor,bLI3evX-lPY,"Mrs.Meenakshi N. Shrigandhi
Assistant Professor
Walchand Institute of Technology, Solapur",2020-11-26T07:46:31Z
Parameterized Constructor,5skIbzcR7Ik,"Mrs.Meenakshi N. Shrigandhi
Assistant Professor
Walchand Institute of Technology, Solapur",2020-11-26T07:39:45Z
Static Data Members and Member Functions,-k7wOK6bpP8,"Mrs. Meenakshi N. Shrigandhi
Assistant Professor
Walchand Institute of Technology, Solapur",2020-11-26T07:31:24Z
Automobile Battery,3BH-2WnSHkA,"Mr. N. R. Tambake
Assistant Professor,
Mechanical Engineering Department,
Walchand Institute of Technology, Solapur",2020-11-26T06:14:59Z
Wiper & Speedometer,aNQIH6fXh5w,"Mr. N. R. Tambake
Assistant Professor,
Mechanical Engineering Department,
Walchand Institute of Technology, Solapur",2020-11-26T06:15:49Z
Automobile Starting & charging system,0KP9nfdRZQA,"Mr. N. R. Tambake
Assistant Professor,
Mechanical Engineering Department,
Walchand Institute of Technology, Solapur",2020-11-26T06:15:23Z
Electric Horn & Fuel Gauges,G8sobB5Uz5U,"Mr. N. R. Tambake
Assistant Professor,
Mechanical Engineering Department,
Walchand Institute of Technology, Solapur",2020-11-26T06:15:33Z
Automobile Lighting & Ignition System,sqdYir3orFw,"Mr. N. R. Tambake
Assistant Professor,
Mechanical Engineering Department,
Walchand Institute of Technology, Solapur",2020-11-26T06:15:10Z
Data Warehouse,i6i63crMsPo,"Dr.Sachin R. Gengaje
 Head & Professor 
Electronics Engineering Department 
Walchand Institute of Technology, Solapur",2020-11-25T11:30:50Z
Database Management System – II,Pqjq-I-UBxU,"Dr.Sachin R. Gengaje
 Head & Professor 
Electronics Engineering Department 
Walchand Institute of Technology, Solapur",2020-11-25T11:25:01Z
Database Types,HdVfZeqoSKo,"Dr.Sachin R. Gengaje
 Head & Professor 
Electronics Engineering Department 
Walchand Institute of Technology, Solapur",2020-11-25T11:19:10Z
Data and Database,xIIxeZc4P_w,"Dr.Sachin R. Gengaje
 Head & Professor 
Electronics Engineering Department 
Walchand Institute of Technology, Solapur",2020-11-25T11:14:20Z
Ampere's Circuital Law,NiIVpBAp8mk,"Dr.Mrs.Rupali J.Shelke
 Associate Professor 
Electronics Engineering Department 
Walchand Institute of Technology, Solapur",2020-11-25T11:08:56Z
Problem Based on Divergence Theorem,bT_sWBfwBco,"Dr.Mrs.Rupali J.Shelke
 Associate Professor 
Electronics Engineering Department 
Walchand Institute of Technology, Solapur",2020-11-25T11:03:34Z
Electric Flux Density,2nTMfT6Ibfk,"Dr.Mrs.Rupali J.Shelke
 Associate Professor 
Electronics Engineering Department 
Walchand Institute of Technology, Solapur",2020-11-25T10:58:00Z
Electric Field Intensity,yx9cKEsHfmo,"Dr.Mrs.Rupali J.Shelke
Associate Professor
Electronics Engineering Department 
Walchand Institute of Technology, Solapur",2020-11-25T10:49:02Z
Demultiplexer and Decoder,2kEqRZlSCQo,"Ms. Shweta S. Patil
Assistant Professor
Department of Electronics and Telecommunication Engineering
Walchand Institute of Technology, Solapur",2020-11-25T10:05:46Z
Optimal Page Replacement,QMeUSgJB_EY,"Mr.R. R. Wagdarikar
Assistant Professor
Department of Computer Science and Engineering
Walchand Institute of Technology Solapur",2020-11-24T09:40:35Z
Least Recently Used Page Replacement strategy,enMbpWQwZbg,"Mr.R. R. Wagdarikar
Assistant Professor
Department of Computer Science and Engineering
Walchand Institute of Technology Solapur",2020-11-24T09:35:37Z
First in First out Page replacement strategy,ozaFI3xpM2c,"Mr.R. R. Wagdarikar
Assistant Professor
Department of Computer Science and Engineering
Walchand Institute of Technology Solapur",2020-11-24T09:32:38Z
page replacement strategy in Operating System,j7mYoCc1Wek,"Mr.R. R. Wagdarikar
Assistant Professor
Department of Computer Science and Engineering
Walchand Institute of Technology Solapur",2020-11-24T09:29:29Z
Introduction to WSN and its Application,8d5ywNIVQxE,"Dr. Gyanappa A. Walikar  (gyanapp@rediffmail.com) 
Professor,  Dept of Computer Science and Engineering
Walchand Institute of Technology, Solapur.
(www.witsolapur.org)",2020-11-24T09:22:00Z
Application of IoT in Agriculture,PajZu3CzOvo,"Dr. Gyanappa A. Walikar  (gyanapp@rediffmail.com) 
Professor,  Dept of Computer Science and Engineering
Walchand Institute of Technology, Solapur.
(www.witsolapur.org)",2020-11-24T09:20:13Z
Radio Frequency Identification Technology in IoT,mEA78fetU6k,"Dr. Gyanappa A. Walikar  (gyanapp@rediffmail.com) 
Professor,  Dept of Computer Science and Engineering
Walchand Institute of Technology, Solapur.
(www.witsolapur.org)",2020-11-24T09:19:15Z
Demand Paging in Operating System,DrRxUfNmy6Y,"Mr.R. R. Wagdarikar
Assistant Professor
Department of Computer Science and Engineering
Walchand Institute of Technology Solapur",2020-11-24T09:26:09Z
Sensor Technology used in IoT,5fCrpBADTBE,"Dr. Gyanappa A. Walikar  (gyanapp@rediffmail.com) 
Professor,  Dept of Computer Science and Engineering
Walchand Institute of Technology, Solapur.
(www.witsolapur.org)",2020-11-24T09:22:55Z
Static and External Storage Classes,Qhsn_R0eaD0,"Mr. F. R. Sayyed
Asst. Professor
Walchand Institute of Technology, Solapur",2020-11-21T09:17:31Z
Automatic and Register Storage Classes,v2BeU6FyOPw,"Mr. F. R. Sayyed
Asst. Professor
Walchand Institute of Technology, Solapur",2020-11-21T09:13:12Z
Conditional Compilation in C Language,UMfwTpcbdok,"Mr. F. R. Sayyed
Asst. Professor
Walchand Institute of Technology, Solapur",2020-11-21T09:07:33Z
File Inclusion in C Language,aXGn5Gc2enk,"Mr. F. R. Sayyed
Asst. Professor
Walchand Institute of Technology, Solapur",2020-11-21T09:03:14Z
Macro Expansion in C Language,CRG1x2_dOrU,"Mr. F. R. Sayyed
Asst. Professor
Walchand Institute of Technology, Solapur",2020-11-21T08:57:45Z
Structures for IIR Filters: Parallel Form,fabtEnhL2iE,"Mr. S. N. Chamatagoudar
Assistant Professor
E&TC Department
Walchand Institute of Technology
Solapur",2020-11-21T06:52:10Z
Structures for IIR Filters: Cascade Form Realization,pyRgUKgn9Bo,"Mr. S. N. Chamatagoudar
Assistant Professor
E&TC Department
Walchand Institute of Technology
Solapur",2020-11-21T06:49:29Z
Structures for FIR Filters: Lattice Structure Part 3/3,SfNo6NQTIM0,"Mr. S. N. Chamatagoudar
Assistant Professor
E&TC Department
Walchand Institute of Technology
Solapur",2020-11-21T06:41:20Z
Structures for FIR Filters: Lattice Structure Part 2/3,njsLUvuRgnQ,"Mr. S. N. Chamatagoudar
Assistant Professor
E&TC Department
Walchand Institute of Technology
Solapur",2020-11-21T06:36:47Z
Structures for FIR Filters: Lattice Structure Part 1/3,iPBXK-CDlN4,"Mr. S. N. Chamatagoudar
Assistant Professor
E&TC Department
Walchand Institute of Technology
Solapur",2020-11-21T06:31:24Z
Modified Goodman Diagram - Part-V,CLZD4DeYO5Y,"Dr.B.B.Deshmukh
Professor,
Mechanical Engineering Department.
Walchand Institute of Technology, Solapur.",2020-11-20T10:15:11Z
Soderberg and Goodman Lines - Part-IV,uqe3P7rt05k,"Dr.B.B.Deshmukh
Professor,
Mechanical Engineering Department.
Walchand Institute of Technology, Solapur.",2020-11-20T10:14:54Z
Endurance Limit-Approximate Estimation- Part-III,q6bVKCIlb_E,"Dr.B.B.Deshmukh
Professor,
Mechanical Engineering Department.
Walchand Institute of Technology, Solapur.",2020-11-20T10:13:44Z
Endurance Limit - Part-II,cn1yBfcAbLg,"Dr.B.B.Deshmukh
Professor,
Mechanical Engineering Department.
Walchand Institute of Technology, Solapur.",2020-11-20T10:12:48Z
Design against fluctuating load-Charts-Stress concentration factor - Part-I,ZGchq9Gzk2M,"Dr.B.B.Deshmukh
Professor,
Mechanical Engineering Department.
Walchand Institute of Technology, Solapur.",2020-11-20T10:11:49Z
Selection of Belt - Part-V,qTjTU4Y7cDg,"Mr.S.S.Rathod
Assistant Professor.
Mechanical Engineering Department.
Walchand Institute of Technology, Solapur.",2020-11-20T09:58:38Z
Selection of Belt - Part-IV,WtA-ioHJ3q4,"Mr.S.S.Rathod
Assistant Professor.
Mechanical Engineering Department.
Walchand Institute of Technology, Solapur.",2020-11-20T09:58:16Z
Selection of Belt - Part-III,rLe-sJjqMiw,"Mr.S.S.Rathod
Assistant Professor.
Mechanical Engineering Department.
Walchand Institute of Technology, Solapur.",2020-11-20T09:57:57Z
Selection of Belt - Part-II,WUMcTSZPQwU,"Mr.S.S.Rathod
Assistant Professor.
Mechanical Engineering Department.
Walchand Institute of Technology, Solapur.",2020-11-20T09:57:47Z
Selection of Belt - Part-I,Io3G0f607Zw,"Mr.S.S.Rathod
Assistant Professor.
Mechanical Engineering Department.
Walchand Institute of Technology, Solapur.",2020-11-20T09:57:34Z
Assignment Problem -Part II,-DCM1sh96eo,"Mr. S. B. Naik 
Assistant Professor 
Mechanical Engineering Department 
Walchand Institute of Technology",2020-11-20T09:38:12Z
Assignment problem-Part I,slB7pDelx4A,"Mr. S. B. Naik 
Assistant Professor 
Mechanical Engineering Department 
Walchand Institute of Technology.",2020-11-20T09:37:53Z
Linear Programming Part-3,dpKkfo8HXMI,"Mr. S. B. Naik 
Assistant Professor 
Mechanical Engineering Department 
Walchand Institute of Technology.",2020-11-20T09:37:38Z
Linear Programming Part-2,ffsagXxb8H0,"Mr. S. B. Naik 
Assistant Professor 
Mechanical Engineering Department 
Walchand Institute of Technology.",2020-11-20T09:37:26Z
Linear Programming Part-1,pWwJYrq9Pjo,"Mr. S. B. Naik 
Assistant Professor 
Mechanical Engineering Department 
Walchand Institute of Technology.",2020-11-20T09:36:56Z
Database System Environment,VtJ-9-TbjLo,"Ms. Shruti Udata
Assistant Professor,
Electronics Department,
Walchand Institute of Technology",2020-11-20T09:21:07Z
Data Languages and Interfaces,3MRgiWZDUCw,"Ms. Shruti Udata
Assistant Professor,
Electronics Department,
Walchand Institute of Technology",2020-11-20T09:20:56Z
"Data Models,Schemas & Instances, Three Schema Architecture",C8-yQuPCkQo,"Ms. Shruti Udata
Assistant Professor,
Electronics Department,
Walchand Institute of Technology",2020-11-20T09:20:46Z
Characteristics of Database Approach,EsKWetIwITk,"Ms. Shruti Udata
Assistant Professor,
Electronics Department,
Walchand Institute of Technology",2020-11-20T09:20:33Z
Introduction to Database Management System,UzAFR129eAo,"Ms. Shruti Udata
Assistant Professor,
Electronics Department,
Walchand Institute of Technology",2020-11-20T09:20:23Z
Decimation in Frequency (DIF) FFT Algorithm,kUnK9pR2rdU,"Mr. Prashant Shivasharan Malge
Assistant Professor
Department of Electronics Engineering
Walchand Institute of Technology, Solapur",2020-11-20T06:42:30Z
Decimation in Time (DIT) FFT Algorithm,nzZRP1VfHx0,"Mr. Prasahnt Shivasharan Malge
Assistant Professor
Department of Electronics Engineering
Walchand Institute of Technology, Solapur",2020-11-20T06:29:16Z
Divide and Conquer Approach for DFT,NkRwIQT9is8,"Mr. Prasahnt Shivasharan Malge
Assistant Professor
Department of Electronics Engineering
Walchand Institute of Technology, Solapur",2020-11-20T06:21:10Z
Google File System,ZS_n8alj_HA,"Dr. Anita M. Pujar
Professor, Computer Science & Engineering Department,
Walchand Institute of Technology, Solpaur-413006",2020-11-19T10:59:39Z
Mechanism of building DFS and design issues Part III,YtVoLb8uKcQ,"Dr. Anita M. Pujar
Professor, Computer Science & Engineering Department,
Walchand Institute of Technology, Solpaur-413006",2020-11-19T10:56:09Z
Mechanism of building DFS and design issues Part II,tLzN4xsiUvc,"Dr. Anita M. Pujar

Professor, Computer Science & Engineering Department,
Walchand Institute of Technology, Solpaur-413006",2020-11-19T10:50:47Z
Mechanism for building DFS and design issues,wx_OFGfw2K8,"Dr. Anita M. Pujar
Professor, Computer Science & Engineering Department,
Walchand Institute of Technology, Solpaur-413006",2020-11-19T10:44:33Z
Distributed File System: An Introduction,rGKVR6WXegY,"Client Caching, Server Caching, DFS, File name space
Dr. Anita M. Pujar,
Professor, Computer Science & Engineering Department,
Walchand Institute of Technology, Solapur-41006",2020-11-19T10:38:02Z
Object Oriented Programming in Python,CNw-jG8YqLk,"Mr. S. T. Patel
Assistant Professor
Department of Computer Science and Engineering
Walchand Institute of Technology, Solapur",2020-11-19T10:18:37Z
Orbital Parameters / Satellite Orbital Parameters,bMIeSbJGqsg,"Mr. K. R. Biradar                                                                                                                                 Assistant Professor Electronics & Telecommunication Engg Dept. Walchand Institute of Technology, Solapur
This video explains about the Satellite orbital parameters like apogee, perigee, eccentricity ,semi major axis, semi minor axis etc.",2020-11-19T09:45:27Z
Launchers and Launch Vehicles / Satellite Launchers & Launch Vehicles,ndy0x_IW_pQ,"Mr. K. R. Biradar                                                                                                                                 Assistant Professor Electronics & Telecommunication Engg Dept. Walchand Institute of Technology, Solapur
This video explains about the satellite launchers and launch vehicles like reusable launch vehicle, expandable launch vehicle.",2020-11-19T09:38:26Z
LinkedHashSet in Collection,WjeaGukFMA8,"LinkedHashSet in Collection (Java)
Program on Collections
Types of Collections
Methods in LinkedHashSet

Mr. Dattatray P.Gandhmal
Assistant Professor, Department of Computer Science & Engineering
Walchand Institute of Technology, Solapur",2020-11-19T09:41:47Z
HashSet in Collection,toJIhhg-N9U,"HashSet in Collection
Program on Collections
Types of Collections

Mr. Dattatray P.Gandhmal
Assistant Professor, Department of Computer Science & Engineering
Walchand Institute of Technology, Solapur",2020-11-19T09:40:32Z
LinkedList in Collection,i1b9BOlIG8A,"LinkedList in Collection (Java)
Program on Collections
Types of Collections
Methods in LinkedList

Mr. Dattatray P.Gandhmal
Assistant Professor, Department of Computer Science & Engineering
Walchand Institute of Technology, Solapur",2020-11-19T09:39:20Z
Array List in Collections,3E_YjAzJL2I,"Array List in Collections
Methods in ArrayList
Program on Collections
Types of Collections in Java

Mr. Dattatray P.Gandhmal
Assistant Professor, Department of Computer Science & Engineering
Walchand Institute of Technology, Solapur",2020-11-19T09:36:20Z
Keplers law / Kepler's law of planetary motion,xteHPZu2w1Y,"Mr. K. R. Biradar                                                                                                                                 Assistant Professor Electronics & Telecommunication Engg Dept. Walchand Institute of Technology, Solapur
This video explains about the three keplers law of planetary motion.",2020-11-19T09:32:41Z
Overview of Collections in Java,yl4OOQcQIhU,"Overview of Collections in Java
Program on Collections
Types of Collections

Mr. Dattatray P.Gandhmal
Assistant Professor, Department of Computer Science & Engineering
Walchand Institute of Technology, Solapur",2020-11-19T09:29:00Z
Orbital Equations / Satellite Fundamental Equations,--Ibdddg_so,"Mr. K. R. Biradar                                                                                                                                 Assistant Professor Electronics & Telecommunication Engg Dept. Walchand Institute of Technology, Solapur
This video explains about the fundamental equations related to satellite like centrifugal force, centripetal force, orbit velocity etc.",2020-11-19T09:22:12Z
Basics of Satellite Communication,C4WXonrlPDg,"Mr. K. R. Biradar                                                                                                                                 Assistant Professor Electronics & Telecommunication Engg Dept. Walchand Institute of Technology, Solapur
This video explains about the basics f satellite communication like definition of satellite, frequency bands used in satellite communication etc.",2020-11-19T09:14:18Z
Design Examples on Synchronous Counter,PltRdG5oY-U,"Vinay S. Dasmane
Assistant Professor
Electronics and Telecommunication Engineering
Walchand Institute of Technology, Solapur",2020-11-19T08:58:29Z
Design of MOD counter using IC 7490,t3esAnNl_bI,"Vinay S. Dasmane
Assistant Professor
Electronics and Telecommunication Engineering
Walchand Institute of Technology, Solapur",2020-11-19T08:53:58Z
CMOS Logic,6KfkOi915Pc,"Mr  G. P. Jain
Assistant Professor
Department of Electronics and Telecommunication Engineering
Walchand Institute of Technology, Solapur",2020-11-19T08:52:35Z
Design of MOD N counter,ZTZAYnT9Iaw,"Vinay S. Dasmane
Assistant Professor
Electronics and Telecommunication Engineering
Walchand Institute of Technology, Solapur",2020-11-19T08:51:03Z
Common Source MOSFET Amplifier,VOn0Je1seOc,"Mr  G. P. Jain
Assistant Professor
Department of Electronics and Telecommunication Engineering
Walchand Institute of Technology, Solapur",2020-11-19T08:47:47Z
Short Channel Effect in E-MOSFET,RVVXOeyExZg,"Mr  G. P. Jain
Assistant Professor
Department of Electronics and Telecommunication Engineering
Walchand Institute of Technology, Solapur",2020-11-19T08:42:04Z
MOSFET Design Equations,-LZY7b3NrgY,"Mr  G. P. Jain
Assistant Professor
Department of Electronics and Telecommunication Engineering
Walchand Institute of Technology, Solapur",2020-11-19T08:34:46Z
Design of Synchronous counter,SuDU9YMH3l4,"Vinay S. Dasmane
Assistant Professor
Electronics and Telecommunication Engineering
Walchand Institute of Technology, Solapur",2020-11-19T08:33:22Z
Enhancement MOSFET,4u38DiAN2wM,"Mr  G. P. Jain
Assistant Professor
Department of Electronics and Telecommunication Engineering
Walchand Institute of Technology, Solapur",2020-11-19T08:24:12Z
Design of Asynchronous counter,eqyQjQ3Pc_8,"Vinay S. Dasmane
Assistant Professor
Electronics and Telecommunication Engineering
Walchand Institute of Technology, Solapur",2020-11-19T08:19:21Z
Introduction to SelectionSort,tIpESKTS-IQ,"Vinit Tribhuvan
Assistant Professor
Dept. of Computer Science and Engineering
Walchand Institute of Technology, Solapur
Maharashtra(INDIA)",2020-11-19T05:59:04Z
Introduction to QuickSort,3XjKo5WaHYw,"Vinit Tribhuvan
Assistant Professor
Dept. of Computer Science and Engineering
Walchand Institute of Technology, Solapur
Maharashtra(INDIA)",2020-11-19T05:58:49Z
Using qsort() in C,3Iqe7oUDuQE,"Vinit Tribhuvan
Assistant Professor
Dept. of Computer Science and Engineering
Walchand Institute of Technology, Solapur
Maharashtra(INDIA)

Link for the program used in the video - 
https://drive.google.com/file/d/17z5oft4BcXQBlTr4e3z0DkpsKZ0Za6ji/view?usp=sharing",2020-11-19T05:58:00Z
Introduction to MergeSort,_nSYjGGqAB4,"Vinit Tribhuvan
Assistant Professor
Dept. of Computer Science and Engineering
Walchand Institute of Technology, Solapur
Maharashtra(INDIA)",2020-11-19T05:57:27Z
Introduction to InsertionSort,9u-S1GflGOc,"Vinit Tribhuvan
Assistant Professor
Dept. of Computer Science and Engineering
Walchand Institute of Technology, Solapur
Maharashtra(INDIA)",2020-11-19T05:57:10Z
Introduction to BubbleSort,O_vOMYZZQrU,"Vinit Tribhuvan
Assistant Professor
Dept. of Computer Science and Engineering
Walchand Institute of Technology, Solapur
Maharashtra(IND)",2020-11-19T05:56:30Z
Using bsearch() in C,87aC1hcZWsA,"Vinit Tribhuvan
Assistant Professor
Dept. of Computer Science and Engineering
Walchand Institute of Technology, Solapur
Maharashtra(INDIA)

Link to the program from  the video - 
https://drive.google.com/file/d/1Uh4xjcv5RvAM-_CGk5VGWgM_t6sJV3do/view?usp=sharing",2020-11-19T05:55:17Z
Strain Energy & Impact Loading - III,aZhGxDiZyPc,"Mr. A. N. Surde
Assistant Professor
Mechanical Engineering Department
Walchand Institute of Technology, Solapur",2020-11-18T08:10:52Z
Strain Energy & Impact Load - V,k4-KypuJZw4,"Mr. A. N. Surde
Assistant Professor
Mechanical Engineering Department
Walchand Institute of Technology, Solapur",2020-11-18T08:09:35Z
Strain Energy & Impact Load-IV,CwvU3doq-yg,"Mr. A. N. Surde
Assistant Professor
Mechanical Engineering Department
Walchand Institute of Technology, Solapur",2020-11-18T08:08:13Z
Strain Energy & Impact Loading - II,jP43ovHBS94,"Mr. A. N. Surde
Assistant Professor
Mechanical Engineering Department
Walchand Institute of Technology, Solapur",2020-11-18T08:07:34Z
Strain Energy & Impact Loading - I,Nptnx_bDmnA,"Mr. A. N. Surde
Assistant Professor
Mechanical Engineering Department
Walchand Institute of Technology, Solapur",2020-11-18T08:06:39Z
Binary Phase Shift Keying (BPSK) Modulation and Demodulation Technique,Pq-TGHRBMsw,"This video explains the Binary Phase Shift Keying (BPSK) Modulation and Demodulation Technique along with its advantages, disadvantages and applications.

Dr. Asha Thalange 
Associate Professor, 
E&TC Dept., 
WIT, Solapur",2020-11-12T10:30:26Z
State Diagram and State Table for Sequence detector using Mealy Model (Overlapping Type),5wceSNz0TAE,"This video explains State Diagram and State Table for Sequence detector using Mealy Model for Overlapping Type.

Dr. A. V. Thalange
Associate Professor,
E&TC Dept., 
WIT, Solapur",2020-11-12T10:04:24Z
State Diagram and State Table for Sequence detector using Moore Model (Overlapping Type),kUqEpV0PsmI,"This video explains State Diagram and State Table for Sequence detector using Moore Model for Overlapping type approach.

Dr. A. V. Thalange
Associate Professor,
E&TC Dept.,
WIT, Solapur",2020-11-12T09:56:20Z
State Diagram and State Table for Sequence detector using Mealy Model (Non-overlapping Type),AydxQLwj0fw,"This video explains the state diagram and state table for Sequence detector using Mealy Model for Non-overlapping Type approach.


Dr. A. V. Thalange
Associate Professor,
E&TC Dept.,
WIT, Solapur",2020-11-12T09:50:17Z
State Diagram and State Table for Sequence detector using Moore Model (Non-overlapping Type),mRhkXOObJRw,"This video explains to draw the state diagram and state table for a sequence detector using Moore Model for Non-overlapping type approach.

Dr. A. V. Thalange
Associate Professor,
E&TC Dept.,
WIT, Solapur",2020-11-12T09:35:39Z
State Table and State Diagram for J-K Flip-flop,-F2gXZVJuek,"This video explains the state diagram, state table and VHDL code for J-K flip flop.

Dr. A. V. Thalange
Associate Professor,
E&TC Dept.,
WIT, Solapur",2020-11-12T09:31:44Z
Finite State Machine,aTsWcWLIBug,"This video gives introduction about Finite state machine (FSM), Moore and Mealy Model of FSM.

Dr. A. V. Thalange
Associate Professor,
E&TC Dept.,
WIT, Solapur.",2020-11-12T09:16:50Z
Numericals on Orbital Parameters 3,pWdwuwmWeZ0,"Mr.P.Y.Kumbhar
Assistant Professor
Electronics & Telecommunication Engineering
Walchand Institute of Technology, Solapur",2020-11-12T08:50:15Z
Orbital Petrubution,9Upg0DTZspA,"Mr.P.Y.Kumbhar

Assistant Professor
Electronics & Telecommunication Engineering
Walchand Institute of Technology, Solapur",2020-11-12T08:50:30Z
Numericals on Orbital Parameters 2,F-FYsivKeuA,"Mr.P.Y.Kumbhar

Assistant Professor
Electronics & Telecommunication Engineering
Walchand Institute of Technology, Solapur",2020-11-12T08:49:57Z
Numericals on Orbital Parameters 1,HRtAEKGaL_k,"Mr.P.Y.Kumbhar
Assistant Professor
Electronics & Telecommunication Engineering
Walchand Institute of Technology, Solapur",2020-11-12T08:50:38Z
Earth Station,QhVr2UxgKZc,"Mr.P.Y.Kumbhar
Assistant Professor
Electronics & Telecommunication Engineering
Walchand Institute of Technology, Solapur",2020-11-12T08:50:34Z
Norton’s equivalent circuit with independent and dependent sources,NyxapHHjVzw,"Mr.P.D.R.Patnaik
Assistant Professor
Electronics & Telecommunication Engineering
Walchand Institute of Technology, Solapur",2020-11-12T08:35:40Z
Norton’s equivalent circuit with independent sources,134SdQHzDFI,"Mr.P.D.R.Patnaik
Assistant Professor
Electronics & Telecommunication Engineering
Walchand Institute of Technology, Solapur",2020-11-12T08:35:57Z
Thevenin’s equivalent circuit with dependent sources,GkXQCVagJWo,"Mr.P.D.R.Patnaik
Assistant Professor
Electronics & Telecommunication Engineering
Walchand Institute of Technology, Solapur",2020-11-12T08:36:01Z
Thevenin’s equivalent circuit with independent and dependent sources,uPVloUcPgWQ,"Mr.P.D.R.Patnaik
Assistant Professor
Electronics & Telecommunication Engineering
Walchand Institute of Technology, Solapur",2020-11-12T08:36:10Z
Thevenin’s equivalent circuit with independent sources,OTwPdtU0s_o,"Mr.P.D.R.Patnaik
Assistant Professor
Electronics & Telecommunication Engineering
Walchand Institute of Technology, Solapur",2020-11-12T08:36:21Z
Python Programs: Decision making statements,uOuf2SHf1Q0,"Mr Naval L Yemul
Assistant Professor 
Mechanical Engineering Department 
Walchand Institute of Technology, Solapur",2020-11-12T06:43:48Z
Python Program,jqi90CUImnI,"Mr Naval L Yemul
Assistant Professor 
Mechanical Engineering Department 
Walchand Institute of Technology, Solapur",2020-11-12T06:42:05Z
Operators in Python,d3P1fGHAwEQ,"Mr Naval L Yemul
Assistant Professor 
Mechanical Engineering Department 
Walchand Institute of Technology, Solapur",2020-11-12T06:40:59Z
"Variables, Data-types and Numbers in python",E3lPCBeC2EY,"Mr Naval L Yemul
Assistant Professor 
Mechanical Engineering Department 
Walchand Institute of Technology, Solapur",2020-11-12T06:39:25Z
Introduction to Python,qhO49zwMH6w,"Mr Naval L Yemul
Assistant Professor 
Mechanical Engineering Department 
Walchand Institute of Technology, Solapur",2020-11-12T06:33:43Z
Warnock Algorithm,pm5oLvNm-WQ,"Mr. D. P. Pandit
Assistant Professor, 
Computer Science and Engineering Department,
Walchand Institute of Technology, Solapur, Maharashtra",2020-11-10T09:59:15Z
Z buffer algorithm,exgMYZ5NaaM,"Mr. D. P. Pandit
Assistant Professor, 
Computer Science and Engineering Department,
Walchand Institute of Technology, Solapur, Maharashtra",2020-11-10T09:58:54Z
Halftoning techniques,d8gBnnjC6Jk,"Mr. D. P. Pandit
Assistant Professor, 
Computer Science and Engineering Department,
Walchand Institute of Technology, Solapur, Maharashtra",2020-11-10T09:58:03Z
Painters algorithm,0ebfp3Q8FZE,"Mr. D. P. Pandit
Assistant Professor, 
Computer Science and Engineering Department,
Walchand Institute of Technology, Solapur, Maharashtra",2020-11-10T09:59:41Z
Antialiasing Techniques,IvopUNOLwWI,"Mr. D. P. Pandit
Assistant Professor, 
Computer Science and Engineering Department,
Walchand Institute of Technology, Solapur, Maharashtra",2020-11-10T09:58:30Z
Ethical Theories of Business Ethics,D6oNypNEwJ8,"Mrs. Priyanka A. Bansode 
Assistant Professor 
Electronics and Telecommunication, Engineering
Walchand Institute of Technology, Solapur",2020-11-10T07:41:05Z
Sustainability: A key goal for Business Ethics,MkShpyDKpMk,"Mrs. Priyanka A. Bansode 

Assistant Professor 
Electronics and Telecommunication, Engineering
Walchand Institute of Technology, Solapur",2020-11-10T07:35:02Z
Globalization: A key context of Business Ethics,zBpJ-_ZcMWw,"Mrs. Priyanka A. Bansode 
Assistant Professor 
Electronics and Telecommunication, Engineering
Walchand Institute of Technology, Solapur",2020-11-10T07:30:12Z
Importance of Business Ethics,NxXskSvFJwU,"Mrs. Priyanka A. Bansode
Assistant Professor
Electronics and Telecommunication, Engineering
Walchand Institute of Technology, Solapur",2020-11-10T07:25:30Z
